"","nuts_id","month_date","year_date","type_of_class","MIS","statistical_unit","articles"
"1","DE111",1,2022,NA,0,NA,13940501
"2","DE112",1,2022,NA,0,NA,13940501
"3","DE113",1,2022,NA,0,NA,13940501
"4","DE114",1,2022,NA,0,NA,13940501
"5","DE115",1,2022,NA,0,NA,13940501
"6","DE116",1,2022,NA,0,NA,13940501
"7","DE117",1,2022,NA,0,NA,13940501
"8","DE118",1,2022,NA,0,NA,13940501
"9","DE119",1,2022,NA,0,NA,13940501
"10","DE11A",1,2022,NA,0,NA,13940501
"11","DE11B",1,2022,NA,0,NA,13940501
"12","DE11C",1,2022,NA,0,NA,13940501
"13","DE11D",1,2022,NA,0,NA,13940501
"14","DE121",1,2022,NA,0,NA,13940501
"15","DE123",1,2022,NA,0,NA,13940501
"16","DE124",1,2022,NA,0,NA,13940501
"17","DE125",1,2022,NA,0,NA,13940501
"18","DE126",1,2022,NA,0,NA,13940501
"19","DE127",1,2022,NA,0,NA,13940501
"20","DE128",1,2022,NA,0,NA,13940501
"21","DE12A",1,2022,NA,0,NA,13940501
"22","DE12C",1,2022,NA,0,NA,13940501
"23","DE131",1,2022,NA,0,NA,13940501
"24","DE132",1,2022,NA,0,NA,13940501
"25","DE133",1,2022,NA,0,NA,13940501
"26","DE134",1,2022,NA,0,NA,13940501
"27","DE135",1,2022,NA,0,NA,13940501
"28","DE136",1,2022,NA,0,NA,13940501
"29","DE137",1,2022,NA,0,NA,13940501
"30","DE138",1,2022,NA,0,NA,13940501
"31","DE139",1,2022,NA,0,NA,13940501
"32","DE13A",1,2022,NA,0,NA,13940501
"33","DE141",1,2022,NA,0,NA,13940501
"34","DE142",1,2022,NA,0,NA,13940501
"35","DE143",1,2022,NA,0,NA,13940501
"36","DE144",1,2022,NA,0,NA,13940501
"37","DE145",1,2022,NA,0,NA,13940501
"38","DE146",1,2022,NA,0,NA,13940501
"39","DE147",1,2022,NA,0,NA,13940501
"40","DE148",1,2022,NA,0,NA,13940501
"41","DE149",1,2022,NA,0,NA,13940501
"42","DE211",1,2022,NA,0,NA,13940501
"43","DE212",1,2022,NA,0,NA,13940501
"44","DE213",1,2022,NA,0,NA,13940501
"45","DE214",1,2022,NA,0,NA,13940501
"46","DE215",1,2022,NA,0,NA,13940501
"47","DE216",1,2022,NA,0,NA,13940501
"48","DE217",1,2022,NA,0,NA,13940501
"49","DE218",1,2022,NA,0,NA,13940501
"50","DE219",1,2022,NA,0,NA,13940501
"51","DE21A",1,2022,NA,0,NA,13940501
"52","DE21B",1,2022,NA,0,NA,13940501
"53","DE21C",1,2022,NA,0,NA,13940501
"54","DE21E",1,2022,NA,0,NA,13940501
"55","DE21F",1,2022,NA,0,NA,13940501
"56","DE21G",1,2022,NA,0,NA,13940501
"57","DE21H",1,2022,NA,0,NA,13940501
"58","DE21J",1,2022,NA,0,NA,13940501
"59","DE21K",1,2022,NA,0,NA,13940501
"60","DE21L",1,2022,NA,0,NA,13940501
"61","DE21M",1,2022,NA,0,NA,13940501
"62","DE21N",1,2022,NA,0,NA,13940501
"63","DE221",1,2022,NA,0,NA,13940501
"64","DE222",1,2022,NA,0,NA,13940501
"65","DE223",1,2022,NA,0,NA,13940501
